D_lower,D_upper,B,C,C0,Pu,reference_speed,limiting_speed ,mass, designation,D_lower_1,D_upper_1,D_upper_2,r1_2_min,D_lower_a_min,D_upper_a_max,ra_max,kr,f0
65,120,23,58.5,40.5,1.73,12000,7500,1,*6213,83.3,103,106,1.5,74,111,1.5,0.025,15
65,140,33,97.5,60,2.5,10000,6700,2.1,*6313,88.3,117,122,2.1,77,128,2,0.03,13
65,160,37,119,78,3.15,9500,6000,3.35,6413,94,131,–,2.1,79,146,2,0.035,12
70,90,10,12.4,13.2,0.56,15000,9000,0.14,61814,76.6,83.4,–,0.6,73.2,86.8,0.6,0.015,17
70,100,16,23.8,21.2,0.9,14000,8500,0.35,61914,79.7,90.3,–,1,74.6,95.4,1,0.02,16
70,110,13,29.1,25,1.06,13000,8000,0.44,*16014,83.3,96.8,–,0.6,73.2,106,0.6,0.02,16
70,110,20,39.7,31,1.32,13000,8000,0.61,*6014,82.8,97.2,99.9,1.1,76,104,1,0.025,16
70,125,24,63.7,45,1.9,11000,7000,1.1,*6214,87,108,111,1.5,79,116,1.5,0.025,15
70,150,35,111,68,2.75,9500,6300,2.55,*6314,94.9,125,130,2.1,82,138,2,0.03,13
70,180,42,143,104,3.9,8500,5300,4.95,6414,103,146,–,3,86,164,2.5,0.035,12
75,95,10,12.7,14.3,0.61,14000,8500,0.15,61815,81.6,88.4,–,0.6,78.2,91.8,0.6,0.015,17
75,105,16,24.2,22.4,0.965,13000,8000,0.37,61915,84.7,95.3,–,1,79.6,100,1,0.02,17
75,115,13,30.2,27,1.14,12000,7500,0.46,*16015,88.3,102,–,0.6,78.2,111,0.6,0.02,16
75,115,20,41.6,33.5,1.43,12000,7500,0.65,*6015,87.8,103,105,1.1,81,109,1,0.025,16
75,130,25,68.9,49,2.04,10000,6700,1.2,*6215,92,113,117,1.5,84,121,1.5,0.025,15
75,160,37,119,76.5,3,9000,5600,3.05,*6315,101,134,139,2.1,87,148,2,0.03,13
75,190,45,153,114,4.15,8000,5000,5.8,6415,110,155,–,3,91,174,2.5,0.035,12
80,100,10,13,15,0.64,13000,8000,0.15,61816,86.6,93.4,–,0.6,83.2,96.8,0.6,0.015,17
80,110,16,25.1,20.4,1.02,12000,7500,0.38,61916,89.8,101,103,1,84.6,105,1,0.02,14
80,125,14,35.1,31.5,1.32,11000,7000,0.61,*16016,95.3,110,–,0.6,83.2,121,0.6,0.02,16
80,125,22,49.4,40,1.66,11000,7000,0.87,*6016,94.4,111,115,1.1,86,119,1,0.025,16
80,140,26,72.8,55,2.2,9500,6000,1.45,*6216,101,123,127,2,91,129,2,0.025,15
80,170,39,130,86.5,3.25,8500,5300,3.65,*6316,108,142,147,2.1,92,158,2,0.03,13
80,200,48,163,125,4.5,7500,4800,6.85,6416,116,163,–,3,96,184,2.5,0.035,12
85,110,13,19.5,20.8,0.88,12000,7500,0.27,61817,93.2,102,–,1,89.6,105,1,0.015,17
85,120,18,31.9,30,1.25,11000,7000,0.55,61917,96.4,109,–,1.1,91,114,1,0.02,16
85,130,14,35.8,33.5,1.37,11000,6700,0.64,*16017,100,115,–,0.6,88.2,126,0.6,0.02,17
85,130,22,52,43,1.76,11000,6700,0.92,*6017,99.4,116,120,1.1,92,123,1,0.025,16
85,150,28,87.1,64,2.5,9000,5600,1.8,*6217,106,130,135,2,96,139,2,0.025,15
85,180,41,140,96.5,3.55,8000,5000,4.25,*6317,114,151,156,3,99,166,2.5,0.03,13
85,210,52,174,137,4.75,7000,4500,8.05,6417,123,172,–,4,105,190,3,0.035,12
90,115,13,19.5,22,0.915,11000,7000,0.28,61818,98.2,107,–,1,94.6,110,1,0.015,17
90,125,18,33.2,31.5,1.29,11000,6700,0.59,61918,101,114,–,1.1,96,119,1,0.02,17
90,140,16,43.6,39,1.56,10000,6300,0.85,*16018,106,124,–,1,94.6,135,1,0.02,16
90,140,24,60.5,50,1.96,10000,6300,1.15,*6018,105,125,129,1.5,97,133,1.5,0.025,16
90,160,30,101,73.5,2.8,8500,5300,2.2,*6218,112,138,143,2,101,149,2,0.025,15
90,190,43,151,108,3.8,7500,4800,4.95,*6318,121,159,164,3,104,176,2.5,0.03,13
90,225,54,186,150,5,6700,4300,9.8,6418,132,181,–,4,110,205,3,0.035,13
95,120,13,19.9,22.8,0.93,11000,6700,0.3,61819,103,112,–,1,99.6,115,1,0.015,17
95,130,18,33.8,33.5,1.34,10000,6300,0.61,61919,106,119,–,1.1,101,124,1,0.02,17
95,145,16,44.9,41.5,1.63,9500,6000,0.89,*16019,111,129,–,1,99.6,140,1,0.02,16
95,145,24,63.7,54,2.08,9500,6000,1.1,*6019,111,130,134,1.5,102,138,1.5,0.025,16
95,170,32,114,81.5,3,8000,5000,2.65,*6219,118,147,152,2.1,107,158,2,0.025,14
95,200,45,159,118,4.15,7000,4500,5.75,*6319,127,168,172,3,109,186,2.5,0.03,13
100,125,13,17.8,18.3,0.95,10000,6300,0.31,61820,108,117,–,1,105,120,1,0.015,13
100,140,20,42.3,41.5,1.63,9500,6000,0.83,61920,112,128,–,1.1,106,134,1,0.02,16
100,150,16,46.2,44,1.7,9500,5600,0.94,*16020,116,134,–,1,105,145,1,0.02,17
100,150,24,63.7,54,2.04,9500,5600,1.25,*6020,115,135,139,1.5,107,143,1.5,0.025,16
100,180,34,127,93,3.35,7500,4800,3.15,*6220,124,155,160,2.1,112,168,2,0.025,14
100,215,47,174,140,4.75,6700,4300,7.1,6320,135,180,184,3,114,201,2.5,0.03,13
